id	en	pt	de	es	fr	hu	ru	el	th	zh	ja	hi	vi
sept	Sep	Setembro	September	Sep	Sep	Szept.	Сентябрь	Σεπ	กันยายน	九月	9月	सितम्बर	Tháng 9
oct	Oct	Outubro	Oktober	Oct	Octobre	Október	Октябрь	Οκτ	ตุลาคม	十月	10月	अक्टूबर	Tháng 10
nov	Nov	novembro	November	Nov	Nov	November	Ноябрь	Νοέμβριος	พฤศจิกายน	十一月	11月	नवंबर	Tháng 11
dec	Dec	Dezembro	Dezember	Dic	Déc	December	Декабрь	Δεκ	ธันวาคม	12月	12月	दिसम्बर	Tháng mười hai
sunday	Sunday	Domingo	Sonntag	Domingo	Dimanche	vasárnap	Воскресенье	Κυριακή	วันอาทิตย์	星期日	日曜日	रविवार	Chủ nhật
monday	Monday	Segunda-feira	Montag	Lunes	Lundi	hétfő	Понедельник	Δευτέρα	วันจันทร์	周一	月曜日	सोमवार	Thứ hai
tuesday	Tuesday	Terça-feira	Dienstag	Martes	Mardi	kedd	Вторник	Τρίτη	วันอังคาร	周二	火曜日	मंगलवार	Thứ ba
wednesday	Wednesday	Quarta-feira	Mittwoch	Miércoles	Mercredi	szerda	Среда	Τετάρτη	วันพุธ	周三	水曜日	बुधवार	Thứ Tư
thursday	Thursday	Quinta-feira	Donnerstag	Jueves	Jeudi	csütörtök	Четверг	Πέμπτη	วันพฤหัสบดี	周四	木曜日	गुरुवार	Thứ năm
friday	Friday	Sexta-feira	Freitag	Viernes	Vendredi	péntek	Пятница	Παρασκευή	วันศุกร์	星期五	金曜日	शुक्रवार	Thứ sáu
saturday	Saturday	Sábado	Samstag	Sábado	Samedi	szombat	Суббота	Σάββατο	วันเสาร์	周六	土曜日	शनिवार	Thứ bảy
january	January	Janeiro	Januar	Enero	Janvier	január	Январь	Ιανουάριος	มกราคม	一月	1月	जनवरी	Tháng Một
february	February	Fevereiro	Februar	Febrero	Février	február	Февраль	Φεβρουάριος	กุมภาพันธ์	二月	2月	फ़रवरी	Tháng hai
march	March	Marchar	Marsch	Marzo	Mars	március	Маршировать	Πορεία	มีนาคม	行进	行進	मार्च	Bước đều
april	April	abril	April	Abril	Avril	április	Апрель	Απρίλιος	เมษายน	四月	4月	अप्रैल	Tháng tư
may	May	Poderia	Mai	Puede	Peut	május	Может	Μάιος	อาจ	可能	5月	मई	Có thể
june	June	Junho	Juni	Junio	Juin	június	Июнь	Ιούνιος	มิถุนายน	六月	6月	जून	Tháng sáu
july	July	Julho	Juli	Julio	Juillet	július	Июль	Ιούλιος	กรกฎาคม	七月	7月	जुलाई	Tháng bảy
august	August	Agosto	August	Agosto	Août	augusztus	Август	Αύγουστος	สิงหาคม	八月	8月	अगस्त	Tháng tám
september	September	Setembro	September	Septiembre	Septembre	szeptember	Сентябрь	Σεπτέμβριος	กันยายน	九月	9月	सितम्बर	Tháng 9
october	October	outubro	Oktober	Octubre	Octobre	október	Октябрь	Οκτώβριος	ตุลาคม	十月	10月	अक्टूबर	Tháng Mười
november	November	novembro	November	Noviembre	Novembre	november	Ноябрь	Νοέμβριος	พฤศจิกายน	十一月	11月	नवंबर	Tháng mười một
december	December	dezembro	Dezember	Diciembre	Décembre	december	Декабрь	Δεκέμβριος	ธันวาคม	十二月	12月	दिसंबर	Tháng 12
contacts	Contacts	Contatos	Kontakte	Contactos	Contacts	Kapcsolatok	Контакты	Επαφές	การติดต่อ	联系方式	連絡先	संपर्क	Liên hệ
files	Files	Arquivos	Dateien	Archivos	Fichiers	Fájlok	Файлы	Αρχεία	ไฟล์	文件	ファイル	फ़ाइलें	Tệp tin
fitness	Fitness	Fitness	Fitness	Aptitud física	Aptitude	Fitnesz	Фитнес	Καταλληλότητα	ฟิตเนส	健康	フィットネス	स्वास्थ्य	Sự thích hợp
health	Health	Saúde	Gesundheit	Salud	Santé	Egészség	Здоровье	Υγεία	สุขภาพ	健康	健康	स्वास्थ्य	Sức khỏe
music	Music	Música	Musik	Música	Musique	Zene	Музыка	Μουσική	ดนตรี	音乐	音楽	संगीत	Âm nhạc
navigation	Navigation	Navegação	Navigation	Navegación	Navigation	Navigáció	Навигация	Πλοήγηση	การนำทาง	导航	ナビゲーション	मार्गदर्शन	Điều hướng
notifications	Notifications	Notificações	Benachrichtigungen	Notificaciones	Notifications	Értesítések	Уведомления	Ειδοποιήσεις	การแจ้งเตือน	通知	通知	सूचनाएं	Thông báo
settings	Settings	Configurações	Einstellungen	Ajustes	Paramètres	Beállítások	Настройки	Ρυθμίσεις	การตั้งค่า	设置	設定	सेटिंग्स	Cài đặt
sleep	Sleep	Dormir	Schlafen	Dormir	Dormir	Alvás	Спать	Υπνος	นอน	睡觉	寝る	नींद	Ngủ
stopwatch	Stopwatch	Cronômetro	Stoppuhr	Cronógrafo	Chronomètre	Stopperóra	Секундомер	Χρονόμετρο	นาฬิกาจับเวลา	跑表	ストップウォッチ	स्टॉपवॉच देखनी	Đồng hồ bấm giờ
timer	Timer	Temporizador	Timer	Minutero	Minuteur	Időzítő	Таймер	Μετρών την ώραν	ตัวจับเวลา	定时器	タイマー	घड़ी	Hẹn giờ
weather	Weather	Clima	Wetter	Clima	Météo	Időjárás	Погода	Καιρός	สภาพอากาศ	天气	天気	मौसम	Thời tiết
display	Display	Mostrar	Anzeige	Mostrar	Afficher	Kijelző	Отображать	Επίδειξη	แสดง	展示	画面	प्रदर्शन	Trưng bày
system	System	Sistema	System	Sistema	Système	Rendszer	Система	Σύστημα	ระบบ	系统	システム	प्रणाली	Hệ thống
alerts	Alerts	Alertas	Warnmeldungen	Alertas	Alertes	Riasztások	Оповещения	Ειδοποιήσεις	การแจ้งเตือน	警报	アラート	अलर्ट	Thông báo
battery	Battery	Bateria	Batterie	Batería	Batterie	Akkumulátor	Батарея	Μπαταρία	แบตเตอรี่	电池	バッテリー	बैटरी	Ắc quy
about	About	Sobre	Um	Acerca de	À propos	Körülbelül	О	Για	เกี่ยวกับ	关于	について	के बारे में	Về
storage	Storage	Armazenar	Lagerung	Almacenamiento	Stockage	Tárolás	Хранилище	Αποθήκευση	พื้นที่จัดเก็บ	贮存	ストレージ	भंडारण	Kho
brightness	Brightness	Brilho	Helligkeit	Brillo	Luminosité	Fényesség	Яркость	Λάμψη	ความสว่าง	亮度	輝度	चमक	Độ sáng
timeout	Timeout	Tempo esgotado	Time-out	Se acabó el tiempo	Temps mort	Időtúllépés	Тайм-аут	Χρονικό όριο	หมดเวลา	暂停	タイムアウト	समय समाप्त	Hết giờ
rotation	Rotation	Rotação	Drehung	Rotación	Rotation	Forgás	Вращение	Περιστροφή	การหมุน	旋转	回転	घुमाएँ	Xoay
raise_to_wake	Raise to wake	Levante para acordar	Zum Aufwecken hochziehen	Levantarse para despertar	Lever pour réveiller	Ébredés	Поднимитесь, чтобы проснуться	Σήκωσε για να ξυπνήσεις	ยกขึ้นเพื่อปลุก	起身唤醒	起こすために持ち上げる	जगाने के लिए उठाएँ	Dậy để thức dậy
circular_scroll	Circular scroll	Pergaminho circular	Kreisförmige Schriftrolle	Pergamino circular	rouleau circulaire	Kör alakú görgetés	Круглый свиток	Κυκλική κύλιση	ม้วนกลม	圆形卷轴	円形スクロール	वृत्ताकार स्क्रॉल	Cuộn tròn
grid_mode	Grid mode	Modo de grade	Rastermodus	Modo cuadrícula	Mode grille	Rács mód	Режим сетки	Λειτουργία πλέγματος	โหมดตาราง	网格模式	グリッドモード	ग्रिड मोड	Chế độ lưới
language	Language	Linguagem	Sprache	Idioma	Langue	Nyelv	Язык	Γλώσσα	ภาษา	语言	言語	भाषा	Ngôn ngữ
reboot	Reboot	Reinício	Neustart	Reiniciar	Redémarrage	Újraindítás	Перезагрузить	Επανεκκίνηση	รีบูต	重启	リブート	रीबूट	Khởi động lại
shutdown	Shutdown	Desligar	Abschalten	Cerrar	Fermer	Leállítás	Неисправность	Κλείσιμο	ปิดระบบ	关闭	シャットダウン	शट डाउन	Tắt máy
factory_reset	Factory Reset	Restauração de fábrica	Werksreset	Restablecimiento de fábrica	Réinitialisation d'usine	Gyári visszaállítás	Сброс к заводским настройкам	Επαναφορά εργοστασιακών ρυθμίσεων	รีเซ็ตเป็นค่าจากโรงงาน	恢复出厂设置	工場出荷時設定にリセット	नए यंत्र जैसी सेटिंग	Khôi phục cài đặt gốc
sound	Sound	Som	Klang	Sonido	Son	Hang	Звук	Ήχος	เสียง	声音	音	आवाज़	Âm thanh
vibration	Vibration	Vibração	Vibration	Vibración	Vibration	Rezgés	Вибрация	Δόνηση	การสั่นสะเทือน	振动	振動	कंपन	Rung động
wake_screen	Wake screen	Tela de ativação	Bildschirm aufwecken	Pantalla de activación	Écran de réveil	Képernyő felébresztése	Экран пробуждения	Οθόνη αφύπνισης	หน้าจอปลุก	唤醒屏幕	起動画面	जाग्रत स्क्रीन	Màn hình khởi động
dnd	DND Mode	Modo Não Perturbe	Nicht stören-Modus	Modo No Molestar	Mode Ne pas déranger	DND mód	Режим «Не беспокоить»	Λειτουργία DND	โหมดห้ามรบกวน	勿扰模式	おやすみモード	डीएनडी मोड	Chế độ Không làm phiền
voltage	Voltage	Tensão	Stromspannung	Voltaje	Tension	Feszültség	Напряжение	Δυναμικό	แรงดันไฟฟ้า	电压	電圧	वोल्टेज	Điện áp
temperature	Temperatue	Temperatura	Temperatur	Temperatura	Température	Hőmérséklet	Температура	Θερμοκρασία	อุณหภูมิ	温度	温度	तापमान	Nhiệt độ
usage	Usage	Uso	Verwendung	Uso	Usage	Használat	Использование	Χρήση	การใช้งาน	用法	使用法	प्रयोग	Cách sử dụng
format	Format	Formatar	Format	Formato	Format	Formátum	Формат	Σχήμα και διάταξις βιβλίου	รูปแบบ	格式	形式	प्रारूप	Định dạng
firmware	Firmware	Firmware	Firmware	Firmware	Micrologiciel	Firmware	Прошивка	Υλικολογισμικό	เฟิร์มแวร์	固件	ファームウェア	फर्मवेयर	Phần mềm cơ sở
hourly_forecast	Hourly Forecast	Previsão horária	Stündliche Vorhersage	Pronóstico por hora	Prévisions horaires	Óránkénti előrejelzés	Почасовой прогноз	Ωριαία Πρόβλεψη	พยากรณ์อากาศรายชั่วโมง	逐小时预报	時間別予報	घंटेवार पूर्वानुमान	Dự báo theo giờ
daily_forecast	Daily Forecast	Previsão diária	Tagesvorhersage	Pronóstico diario	Prévisions quotidiennes	Napi előrejelzés	Ежедневный прогноз	Ημερήσια Πρόγνωση	พยากรณ์อากาศประจำวัน	每日天气预报	日々の天気予報	दैनिक पूर्वानुमान	Dự báo hàng ngày
timeout_5	5 seconds	5 segundos	5 Sekunden	5 segundos	5 secondes	5 másodperc	5 секунд	5 δευτερόλεπτα	5 วินาที	5秒	5秒	5 सेकंड	5 giây
timeout_10	10 seconds	10 segundos	10 Sekunden	10 segundos	10 secondes	10 másodperc	10 секунд	10 δευτερόλεπτα	10 วินาที	10秒	10秒	10 सेकंड	10 giây
timeout_20	20 seconds	20 segundos	20 Sekunden	20 segundos	20 secondes	20 másodperc	20 секунд	20 δευτερόλεπτα	20 วินาที	20秒	20秒	20 सेकंड	20 giây
timeout_30	30 seconds	30 segundos	30 Sekunden	30 segundos	30 secondes	30 másodperc	30 секунд	30 δευτερόλεπτα	30 วินาที	30秒	30秒	30 सेकंड	30 giây
always_on	Always On	Sempre ligado	Immer eingeschaltet	Siempre encendido	Toujours allumé	Mindig bekapcsolva	Всегда включено	Πάντα ενεργοποιημένο	เปิดใช้งานตลอดเวลา	始终开启	常時接続	हमेशा बने रहें	Luôn bật
updated_at	Updated at	Atualizado em	Aktualisiert am	Actualizado en	Mise à jour le	Frissítve:	Обновлено в	Ενημερώθηκε στις	อัปเดตเมื่อ	更新于	更新日時	अपडेट किया गया	Đã cập nhật lúc
cloudy	Cloudy	Nublado	Wolkig	Nublado	Nuageux	Felhős	Облачно	Νεφελώδης	เมฆมาก	多云	曇り	बादलों से घिरा	Nhiều mây
ram	RAM	BATER	RAM	RAM	BÉLIER	RAM	БАРАН	ΕΜΒΟΛΟ	แรม	内存	ラム	टक्कर मारना	ĐẬP
psram	PSRAM	PSRAM	PSRAM	PSRAM	PSRAM	PSRAM	ПСРАМ	PSRAM	พีเอสแรม	PSRAM	PSRAM	पीएसआरएएम	PSRAM
flash	Flash	Clarão	Blitz	Destello	Éclair	Vaku	Вспышка	Λάμψη	แฟลช	闪光	フラッシュ	चमक	Flash
type	Type	Tipo	Typ	Tipo	Taper	Típus	Тип	Τύπος	พิมพ์	类型	タイプ	प्रकार	Kiểu
steps	Steps	Passos	Schritte	Pasos	Mesures	Lépések	Шаги	Βήματα	ขั้นตอน	步骤	手順	चरण	Các bước
watchfaces	Watchfaces	Mostradores de relógio	Zifferblätter	Esferas de reloj	Cadrans de montre	Óraszámlapok	Циферблаты	Προσόψεις ρολογιού	หน้าปัดนาฬิกา	表盘	ウォッチフェイス	वॉचफेस	Mặt đồng hồ
sd_card	SD Card	Cartão SD	SD-Karte	Tarjeta SD	Carte SD	SD-kártya	SD-карта	Κάρτα SD	การ์ด SD	SD卡	SDカード	एसडी कार्ड	Thẻ SD
clear_all	Clear All	Limpar tudo	Alles löschen	Borrar todo	Effacer tout	Összes törlése	Очистить все	Εκκαθάριση όλων	ล้างทั้งหมด	全部清除	すべてクリア	सभी साफ करें	Xóa tất cả
no_notifications	No notifications avaialble, check back later	Nenhuma notificação disponível. Volte mais tarde.	Es sind keine Benachrichtigungen verfügbar. Bitte versuchen Sie es später erneut.	No hay notificaciones disponibles, vuelva a intentarlo más tarde.	Aucune notification disponible, veuillez réessayer plus tard.	Nincsenek elérhető értesítések, nézz vissza később	Уведомления недоступны, зайдите позже.	Δεν υπάρχουν διαθέσιμες ειδοποιήσεις, ελέγξτε ξανά αργότερα	ไม่มีการแจ้งเตือนใดๆ โปรดตรวจสอบอีกครั้งในภายหลัง	暂无通知，请稍后查看。	通知はありません。後ほどご確認ください。	कोई सूचना उपलब्ध नहीं है, कृपया बाद में दोबारा देखें।	Hiện không có thông báo nào, vui lòng kiểm tra lại sau.
camera	Camera	Câmera	Kamera	Cámara	Caméra	Kamera	Камера	Κάμερα	กล้อง	相机	カメラ	कैमरा	Máy ảnh
music_control	Music Control	Controle de música	Musiksteuerung	Control de música	Contrôle de la musique	Zenevezérlés	Управление музыкой	Έλεγχος μουσικής	การควบคุมดนตรี	音乐控制	音楽コントロール	संगीत नियंत्रण	Điều khiển âm nhạc
													#VALUE!
reset	Reset	Reiniciar	Zurücksetzen	Reiniciar	Réinitialiser	Visszaállítás	Перезагрузить	Επαναφορά	รีเซ็ต	重置	リセット	रीसेट करें	Cài lại
inactive	Inactive	Inativo	Inaktiv	Inactivo	Inactif	Inaktív	Неактивный	Αδρανής	ไม่ใช้งาน	非活跃状态	非アクティブ	निष्क्रिय	Không hoạt động
connected	Connected	Conectado	Verbunden	Conectado	Connecté	Csatlakoztatva	Подключено	Συνδεδεμένος	เชื่อมต่อแล้ว	已连接	接続済み	जुड़े हुए	Đã kết nối
disconnected	Disconnected	Desconectado	Getrennt	Desconectado	Déconnecté	Szétkapcsolt	Отключено	Ασύνδετος	ตัดการเชื่อมต่อ	断开连接	接続が切断されました	डिस्कनेक्ट किया गया	Đã ngắt kết nối
nav_info	Connect to Chronos app and start navigation.	Conecte-se ao aplicativo Chronos e inicie a navegação.	Verbinde dich mit der Chronos-App und starte die Navigation.	Conéctate a la aplicación Chronos e inicia la navegación.	Connectez-vous à l'application Chronos et lancez la navigation.	Csatlakozz a Chronos alkalmazáshoz, és indítsd el a navigációt.	Подключитесь к приложению Chronos и начните навигацию.	Συνδεθείτε στην εφαρμογή Chronos και ξεκινήστε την πλοήγηση.	เชื่อมต่อแอป Chronos และเริ่มการนำทาง	连接到 Chronos 应用并开始导航。	Chronosアプリに接続してナビゲーションを開始してください。	Chronos ऐप से कनेक्ट करें और नेविगेशन शुरू करें।	Kết nối với ứng dụng Chronos và bắt đầu hành trình.
nav_start	Start navigation on the connected phone	Inicie a navegação no telefone conectado.	Starten Sie die Navigation auf dem verbundenen Telefon	Iniciar la navegación en el teléfono conectado	Lancer la navigation sur le téléphone connecté	Navigáció indítása a csatlakoztatott telefonon	Запустить навигацию на подключенном телефоне	Έναρξη πλοήγησης στο συνδεδεμένο τηλέφωνο	เริ่มการนำทางบนโทรศัพท์ที่เชื่อมต่ออยู่	在已连接的手机上开始导航	接続されたスマートフォンでナビゲーションを開始します。	कनेक्टेड फ़ोन पर नेविगेशन शुरू करें	Bắt đầu điều hướng trên điện thoại đã kết nối.
navio_info	A navigation firmware for ESP32 devices based on ChronosESP32 library and Chronos app, made with ♥️ in Kenya using LVGL Pro by fbiego 🛠️	Um firmware de navegação para dispositivos ESP32 baseado na biblioteca ChronosESP32 e no aplicativo Chronos, feito com ♥️ no Quênia usando LVGL Pro por fbiego 🛠️	Eine Navigations-Firmware für ESP32-Geräte, die auf der ChronosESP32-Bibliothek und der Chronos-App basiert und mit ♥️ in Kenia unter Verwendung von LVGL Pro von fbiego entwickelt wurde 🛠️	Un firmware de navegación para dispositivos ESP32 basado en la biblioteca ChronosESP32 y la aplicación Chronos, creado con ♥️ en Kenia usando LVGL Pro por fbiego 🛠️	Un micrologiciel de navigation pour les appareils ESP32 basé sur la bibliothèque ChronosESP32 et l'application Chronos, fabriqué avec ♥️ au Kenya à l'aide de LVGL Pro par fbiego 🛠️	Egy navigációs firmware ESP32 eszközökhöz, a ChronosESP32 könyvtár és a Chronos alkalmazás alapján, ♥️-vel készítve Kenyában, az LVGL Pro használatával fbiego által 🛠️	Прошивка навигации для устройств ESP32 на базе библиотеки ChronosESP32 и приложения Chronos, сделанная с ♥️ в Кении с использованием LVGL Pro от fbiego 🛠️	Ένα υλικολογισμικό πλοήγησης για συσκευές ESP32 που βασίζεται στη βιβλιοθήκη ChronosESP32 και την εφαρμογή Chronos, κατασκευασμένο με ♥️ στην Κένυα χρησιμοποιώντας το LVGL Pro από τον fbiego 🛠️	เฟิร์มแวร์การนำทางสำหรับอุปกรณ์ ESP32 ที่อิงตามไลบรารี ChronosESP32 และแอป Chronos สร้างขึ้นด้วย ♥️ ในเคนยา โดยใช้ LVGL Pro โดย fbiego 🛠️	基于 ChronosESP32 库和 Chronos 应用程序的 ESP32 设备导航固件，由 fbiego 在肯尼亚使用 LVGL Pro 倾情打造 ♥️ 🛠️	ChronosESP32ライブラリとChronosアプリに基づいたESP32デバイス用のナビゲーションファームウェア。fbiegoによってLVGL Proを使用してケニアで♥️を込めて作られました。🛠️	ChronosESP32 लाइब्रेरी और Chronos ऐप पर आधारित ESP32 उपकरणों के लिए एक नेविगेशन फर्मवेयर, जिसे fbiego द्वारा LVGL Pro का उपयोग करके केन्या में ♥️ के साथ बनाया गया है 🛠️	Phần mềm điều hướng dành cho thiết bị ESP32 dựa trên thư viện ChronosESP32 và ứng dụng Chronos, được tạo ra bằng ♥️ tại Kenya bằng LVGL Pro của fbiego 🛠️
en	English	English	English	English	English	English	English	English	English	English	English	English	English
pt	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese	Portuguese
de	German	German	German	German	German	German	German	German	German	German	German	German	German
es	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish	Spanish
fr	French	French	French	French	French	French	French	French	French	French	French	French	French
hu	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian	Hungarian
ru	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian	Russian
el	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek	Greek
th	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai	Thai
zh	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese	Chinese
ja	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese	Japanese
hi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi	Hindi
vi	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese	Vietnamese
proceed	Proceed	Prosseguir	Fortfahren	Proceder	Procéder	Folytatás	Продолжить	Προχωρώ	ดำเนินการ	继续	進む	आगे बढ़ना	Tiếp tục
cancel	Cancel	Cancelar	Stornieren	Cancelar	Annuler	Mégsem	Отмена	Ματαίωση	ยกเลิก	取消	キャンセル	रद्द करना	Hủy bỏ
reset_info	Are you sure you want to reset the system? This will erase all data and settings.	Tem certeza de que deseja redefinir o sistema? Isso apagará todos os dados e configurações.	Sind Sie sicher, dass Sie das System zurücksetzen möchten? Dadurch werden alle Daten und Einstellungen gelöscht.	¿Seguro que quieres reiniciar el sistema? Esto borrará todos los datos y la configuración.	Êtes-vous sûr de vouloir réinitialiser le système ? Cette opération effacera toutes les données et tous les paramètres.	Biztosan visszaállítja a rendszert? Ez minden adatot és beállítást töröl.	Вы уверены, что хотите сбросить систему? Это приведет к удалению всех данных и настроек.	Είστε βέβαιοι ότι θέλετε να επαναφέρετε το σύστημα; Αυτή η ενέργεια θα διαγράψει όλα τα δεδομένα και τις ρυθμίσεις.	คุณแน่ใจหรือไม่ว่าต้องการรีเซ็ตระบบ? การดำเนินการนี้จะลบข้อมูลและการตั้งค่าทั้งหมด	您确定要重置系统吗？这将清除所有数据和设置。	システムをリセットしてもよろしいですか？リセットすると、すべてのデータと設定が消去されます。	क्या आप वाकई सिस्टम को रीसेट करना चाहते हैं? इससे सारा डेटा और सेटिंग्स मिट जाएंगी।	Bạn có chắc chắn muốn khôi phục cài đặt gốc không? Thao tác này sẽ xóa tất cả dữ liệu và cài đặt.
reset_title	Reset System	Reiniciar sistema	System zurücksetzen	Reiniciar sistema	Réinitialiser le système	Rendszer visszaállítása	Сбросить систему	Επαναφορά συστήματος	รีเซ็ตระบบ	重置系统	システムのリセット	सिस्टम रीसेट करें	Khôi phục hệ thống
icon_size	Icon size	Tamanho do ícone	Symbolgröße	Tamaño del icono	Taille de l'icône	Ikonméret	Размер значка	Μέγεθος εικονιδίου	ขนาดไอคอน	图标大小	アイコンサイズ	आइकन का आकार	Kích thước biểu tượng
system_time	System time	Hora do sistema	Systemzeit	Hora del sistema	Heure système	Rendszeridő	Системное время	Ώρα συστήματος	เวลาของระบบ	系统时间	システム時刻	सिस्टम समय	Thời gian hệ thống
arrival_time	Arrival time	Hora de chegada	Ankunftszeit	Hora de llegada	Heure d'arrivée	Érkezési idő	Время прибытия	Ώρα άφιξης	เวลาที่มาถึง	到达时间	到着時間	आगमन समय	Thời gian đến
directions	Directions	Instruções	Wegbeschreibung	Instrucciones	Instructions	Útvonalterv	Направления	Οδηγίες	ทิศทาง	方向	方向	दिशा-निर्देश	Hướng dẫn
													
applications	Applications	Aplicações	Anwendungen	Aplicaciones	Applications	Alkalmazások	Приложения	Εφαρμογές	แอปพลิเคชัน	应用程序	アプリケーション	आवेदन	Ứng dụng
phone_link	Phone Link	Ligação telefônica	Telefonverbindung	Enlace telefónico	Lien téléphonique	Telefonkapcsolat	Телефонная ссылка	Τηλεφωνική σύνδεση	โทรศัพท์เชื่อมต่อ	电话链接	電話回線	फ़ोन लिंक	Kết nối điện thoại
status	Status	Status	Status	Estado	Statut	Állapot	Статус	Κατάσταση	สถานะ	地位	状態	स्थिति	Trạng thái
last_sync	Last Sync	Última sincronização	Letzte Synchronisierung	Última sincronización	Dernière synchronisation	Utolsó szinkronizálás	Последняя синхронизация	Τελευταίος συγχρονισμός	การซิงค์ครั้งล่าสุด	上次同步	最終同期	अंतिम सिंक	Lần đồng bộ cuối cùng
charging	Charging	Carregando	Laden	Carga	Chargement	Töltés	Зарядка	Φόρτιση	กำลังชาร์จ	收费	充電	चार्ज	Đang sạc
yes	Yes	Sim	Ja	Sí	Oui	Igen	Да	Ναί	ใช่	是的	はい	हाँ	Đúng
no	No	Não	NEIN	No	Non	Nem	Нет	Οχι	เลขที่	不	いいえ	नहीं	KHÔNG
find_phone	Find Phone	Encontrar telefone	Telefon finden	Buscar teléfono	Localiser mon téléphone	Telefon keresése	Найти телефон	Βρείτε τηλέφωνο	ค้นหาโทรศัพท์	查找手机	スマートフォンを探す	फ़ोन ढूंढें	Tìm điện thoại
version	Version	Versão	Version	Versión	Version	Változat	Версия	Εκδοχή	เวอร์ชั่น	版本	バージョン	संस्करण	Phiên bản
code	Code	Código	Code	Código	Code	Kód	Код	Κώδικας	รหัส	代码	コード	कोड	Mã số
													
													
sun_cloud	Partly Cloudy	Parcialmente nublado	Teilweise bewölkt	Parcialmente nublado	Partiellement nuageux	Részben felhős	Переменная облачность	Μερικώς Νεφελώδης	มีเมฆบางส่วน	多云	所により曇り	आंशिक रूप से बादल छाएंगे	Trời nhiều mây một phần
sunny	Sunny	Ensolarado	Sonnig	Soleado	Ensoleillé	Napos	Солнечно	Ηλιόλουστος	แดดจัด	阳光明媚	晴れ	धूप वाला	Nhiều nắng
snow	Snow	Neve	Schnee	Nieve	Neige	Hó	Снег	Χιόνι	หิมะ	雪	雪	बर्फ	Tuyết
rainy	Rainy	Chuvoso	Regnerisch	Lluvioso	Pluvieux	Esős	Дождливый	Βροχερός	ฝนตก	雷尼	雨	बरसाती	Trời mưa
tornado	Tornado	Tornado	Tornado	Tornado	Tornade	Tornádó	Торнадо	Ανεμοστρόβιλος	พายุทอร์นาโด	龙卷风	竜巻	बवंडर	Lốc xoáy
